期号,开奖日期,红球,蓝球,红球号码1,红球号码2,红球号码3,红球号码4,红球号码5,红球号码6,蓝球号码1,总销售额,奖池余额
26065,2026-06-09,"07,08,16,24,30,32",02,07,08,16,24,30,32,02,"706,837,950","386,314,046"
26066,2026-06-11,"05,11,21,23,24,29",16,05,11,21,23,24,29,16,"671,837,950","392,786,646"
26067,2026-06-14,"04,19,27,29,30,32",13,04,19,27,29,30,32,13,"658,469,423","414,869,642"
26068,2026-06-16,"03,05,16,18,29,32",04,03,05,16,18,29,32,04,"588,469,423","379,517,740"
26069,2026-06-18,"12,14,16,17,18,32",08,12,14,16,17,18,32,08,"493,183,968","373,992,648"
26070,2026-06-21,"03,06,08,14,26,27",08,03,06,08,14,26,27,08,"438,183,968","398,555,946"
26071,2026-06-23,"03,08,19,25,31,33",05,03,08,19,25,31,33,05,"398,183,968","373,089,958"
26072,2026-06-25,"07,08,12,15,17,21",01,07,08,12,15,17,21,01,"378,183,968","377,591,844"
26073,2026-06-28,"09,10,13,16,19,21",08,09,10,13,16,19,21,08,"328,183,968","398,594,042"
26074,2026-06-30,"02,23,24,26,28,32",04,02,23,24,26,28,32,04,"308,183,968","370,952,514"
26075,2026-07-02,"08,12,18,21,24,30",01,08,12,18,21,24,30,01,"283,183,968","370,657,052"
26076,2026-07-05,"01,03,19,20,24,25",07,01,03,19,20,24,25,07,"292,048,181","382,507,054"
26077,2026-07-07,"01,04,05,14,18,25",04,01,04,05,14,18,25,04,"320,076,738","353,662,546"
26078,2026-07-09,"07,11,14,16,27,28",06,07,11,14,16,27,28,06,"285,632,700","355,852,948"
26079,2026-07-12,"01,11,17,22,24,29",04,01,11,17,22,24,29,04,"367,458,887","373,452,200"
26080,2026-07-14,"04,05,11,19,27,32",01,04,05,11,19,27,32,01,"384,218,118","344,697,650"
26081,2026-07-16,"06,10,12,15,24,27",12,06,10,12,15,24,27,12,"401,606,257","350,765,488"
26082,2026-07-19,"05,07,10,14,21,28",04,05,07,10,14,21,28,04,"409,487,566","375,000,824"
26083,2026-07-21,"07,14,15,23,28,33",03,07,14,15,23,28,33,03,"480,802,779","348,240,258"
26084,2026-07-23,"01,05,06,10,12,16",05,01,05,06,10,12,16,05,"480,566,551","348,718,788"
