期号,开奖日期,前区,后区,前区号码1,前区号码2,前区号码3,前区号码4,前区号码5,后区号码1,后区号码2,总销售额,奖池余额
26101,2026-09-05,"09,11,18,26,33","09,11",09,11,18,26,33,09,11,"315,133,456","692,723,356.75"
26102,2026-09-07,"01,03,07,27,28","06,07",01,03,07,27,28,06,07,"291,295,536","725,321,799.11"
26103,2026-09-09,"03,16,17,32,35","02,12",03,16,17,32,35,02,12,"296,391,996","763,164,025.28"
26104,2026-09-12,"01,06,14,15,26","08,09",01,06,14,15,26,08,09,"316,250,501","768,328,090.76"
26105,2026-09-14,"10,14,30,33,34","09,12",10,14,30,33,34,09,12,"290,941,792","797,986,461.75"
26106,2026-09-16,"14,17,21,25,28","04,06",14,17,21,25,28,04,06,"290,236,360","826,970,066.74"
26107,2026-09-19,"02,05,07,14,22","04,10",02,05,07,14,22,04,10,"313,508,185","831,053,727.13"
26108,2026-09-21,"01,05,07,21,35","01,04",01,05,07,21,35,01,04,"296,206,851","845,758,402.32"
26109,2026-09-23,"12,14,16,27,34","04,08",12,14,16,27,34,04,08,"290,272,321","875,294,743.09"
26110,2026-09-26,"03,24,25,26,35","07,09",03,24,25,26,35,07,09,"302,677,559","853,999,858.47"
